test_image,response,resptime,r/g/b, q, expected, category, size (in Bytes)
colorful-flowers,4,2.966549,b,16,True,bunt,1701535
colorful-flowers,4,0.704361,n,0,False,bunt,3615135
chameleon,3,1.320021,r,64,False,dominant,1501954
sunflower,4,0.775543,b,32,False,dominant,1519261
boy,1,1.032526,r,64,True,ausgeglichen,1665296
sunflower,3,2.078041,b,64,False,dominant,1481298
sunflower,2,1.795431,g,32,True,dominant,1575103
sunflower,4,1.152456,b,8,False,dominant,1642842
landscape-mountains-1,4,1.480488,r,2,False,bunt,1959463
protrait-man,4,1.248162,b,16,False,ausgeglichen,983930
women-portrait,4,1.199669,r,8,True,dominant,1548721
parrot-1,1,1.175493,g,32,False,dominant,1316312
chameleon,3,1.335986,r,32,False,dominant,1549741
boy,3,1.230876,b,16,True,ausgeglichen,1788808
chameleon,3,0.65038,b,8,False,dominant,1636571
colorful-flowers,4,0.99734,r,2,True,bunt,1976069
colorful-flowers,4,0.943802,b,32,True,bunt,1650075
parrot-1,1,0.933297,g,64,False,dominant,1286005
boy,5,1.817038,r,2,True,ausgeglichen,1970444
protrait-man,1,0.85996,g,64,False,ausgeglichen,954435
buildings-1,4,1.231765,r,8,True,bunt,1613539
women-portrait-blue,4,2.394921,b,16,True,dominant,1470592
women-portrait,4,1.474955,b,16,False,dominant,1512537
women-portrait,2,2.257134,b,64,False,dominant,1405429
colorful-flowers,1,0.899738,g,64,True,bunt,1698274
colorful-flowers,2,0.82313,r,64,True,bunt,1687900
chameleon,2,1.515088,g,32,True,dominant,1563034
boy,1,0.919069,g,32,False,ausgeglichen,1755699
sunflower,3,5.251175,r,32,True,dominant,1563355
women-portrait,2,1.759893,g,16,False,dominant,1536851
colorful-flowers,2,6.18284,r,32,True,bunt,1737132
parrot-1,1,4.323873,g,2,False,dominant,1487599
protrait-man,2,0.8743,b,32,False,ausgeglichen,947520
buildings-1,3,3.201304,b,64,True,bunt,1464487
protrait-man,2,2.181669,g,8,False,ausgeglichen,1057146
chameleon,3,1.128012,g,2,True,dominant,1780385
protrait-man,1,0.783301,g,32,False,ausgeglichen,988913
women-portrait-blue,2,1.406894,r,64,False,dominant,1334286
buildings-1,3,1.006859,r,16,True,bunt,1554914
colorful-flowers,3,1.177246,g,2,True,bunt,1979529
landscape-mountains-1,3,0.982315,g,2,True,bunt,1974709
chameleon,3,0.691514,r,16,False,dominant,1602827
parrot-1,3,0.608913,g,8,False,dominant,1409332
chameleon,3,0.609542,g,8,True,dominant,1674493
chameleon,3,2.616333,g,16,True,dominant,1620124
women-portrait-blue,3,1.12461,r,16,False,dominant,1430798
parrot-1,4,1.194039,b,16,False,dominant,1326265
colorful-flowers,3,0.825969,r,16,True,bunt,1798205
landscape-mountains-1,2,1.800579,r,32,False,bunt,1697798
boy,2,0.071397,g,64,False,ausgeglichen,1697505
landscape-mountains-1,2,0.96235,g,8,True,bunt,1867469
